Name,TRANSTYPE,Date,Amount,NAV,Units,SCHEMECODE
HDFC Equity,PUR,08-02-2016,"3,000.00",388.986,7.712,1
HDFC Equity,PUR,17-01-2013,"1,000.00",300.349,3.329,1
HDFC Equity,PUR,26-03-2013,"1,000.00",267.477,3.739,1
HDFC Equity,PURA,26-04-2013,"1,000.00",280.348,3.567,1
HDFC Equity,PUR,28-05-2013,"1,000.00",287.821,3.474,1
HDFC Equity,PURA,26-06-2013,"1,000.00",259.526,3.853,1
HDFC Equity,PURA,26-07-2013,"1,000.00",261.273,3.827,1
HDFC Equity,PURA,27-08-2013,"1,000.00",238.434,4.194,1
HDFC Equity,PUR,26-09-2013,"1,000.00",261.034,3.831,1
HDFC Equity,PURA,28-10-2013,"1,000.00",275.521,3.629,1
HDFC Equity,PUR,26-11-2013,"1,000.00",284.955,3.509,1
HDFC Equity,PURA,13-12-2013,"2,500.00",291.114,8.588,1
HDFC Equity,PURA,27-12-2013,"1,000.00",304.983,3.279,1
HDFC Equity,PUR,27-01-2014,"1,000.00",288.404,3.467,1
HDFC Equity,PURA,03-06-2014,"2,000.00",403.434,4.957,1
HDFC Equity,PURA,03-07-2014,"2,000.00",430.144,4.65,1
HDFC Equity,PUR,04-08-2014,"2,000.00",421.796,4.742,1
HDFC Equity,PUR,03-09-2014,"2,000.00",448.011,4.464,1
HDFC Equity,PUR,07-10-2014,"2,000.00",437.304,4.573,1
HDFC Equity,PURA,05-11-2014,"2,000.00",467.832,4.275,1
HDFC Equity,PURA,03-12-2014,"2,000.00",485.926,4.116,1
HDFC Equity,PURA,05-01-2015,"2,000.00",474.35,4.216,1
HDFC Equity,PUR,03-02-2015,"2,000.00",482.896,4.142,1
HDFC Equity,PUR,03-03-2015,"2,000.00",492.946,4.057,1
HDFC Equity,PURA,06-04-2015,"2,000.00",477.62,4.187,1
HDFC Equity,PUR,13-04-2015,"3,000.00",489.732,6.126,1
HDFC Equity,PURA,06-05-2015,"3,000.00",450.831,6.654,1
HDFC Equity,PUR,08-06-2015,"3,000.00",447.778,6.7,1
HDFC Equity,PURA,07-07-2015,"3,000.00",474.907,6.317,1
HDFC Equity,PURA,07-08-2015,"3,000.00",489.721,6.126,1
HDFC Equity,PURA,07-09-2015,"3,000.00",421.476,7.118,1
HDFC Equity,PURA,06-10-2015,"3,000.00",454.086,6.607,1
HDFC Equity,PURA,06-11-2015,"3,000.00",445.621,6.732,1
HDFC Equity,PUR,07-12-2015,"3,000.00",442.562,6.779,1
HDFC Equity,PURA,06-01-2016,"3,000.00",434.984,6.897,1
HDFC Equity,PUR,08-02-2016,"3,000.00",388.986,7.712,1
HDFC Top 200,PURA,03-10-2011,"5,000.00",184.462,27.106,2
HDFC Top 200,PUR,19-12-2012,"1,000.00",226.193,4.421,2
HDFC Top 200,PUR,26-03-2013,"1,000.00",207.675,4.815,2
HDFC Top 200,PURA,26-04-2013,"1,000.00",218.689,4.573,2
HDFC Top 200,PUR,28-05-2013,"1,000.00",224.866,4.447,2
HDFC Top 200,PUR,26-06-2013,"1,000.00",202.908,4.928,2
HDFC Top 200,PUR,26-07-2013,"1,000.00",205.725,4.861,2
HDFC Top 200,PUR,27-08-2013,"1,000.00",187.975,5.32,2
HDFC Top 200,PURA,26-09-2013,"1,000.00",207.191,4.826,2
HDFC Top 200,PURA,28-10-2013,"1,000.00",217.296,4.602,2
HDFC Top 200,PURA,26-11-2013,"1,000.00",222.25,4.499,2
HDFC Top 200,PUR,13-12-2013,"2,500.00",226.899,11.018,2
HDFC Top 200,PUR,27-12-2013,"1,000.00",235.716,4.242,2
HDFC Top 200,PUR,27-01-2014,"1,000.00",223.615,4.472,2
HDFC Top 200,PURA,26-02-2014,"1,000.00",228.546,4.375,2
HDFC Top 200,PURA,26-03-2014,"1,000.00",247.626,4.038,2
HDFC Top 200,PUR,28-04-2014,"1,000.00",261.349,3.826,2
HDFC Top 200,RED,14-05-2014,"-11,140.23",279.863,-39.806,2
HDFC Top 200,PUR,27-05-2014,"1,000.00",298.156,3.354,2
HDFC Top 200,PURA,26-06-2014,"1,000.00",307.116,3.256,2
HDFC Top 200,PURA,25-07-2014,"1,000.00",307.33,3.254,2
HDFC Top 200,PURA,26-08-2014,"1,000.00",320.326,3.122,2
HDFC Top 200,PUR,26-09-2014,"1,000.00",322.753,3.098,2
HDFC Top 200,PUR,27-10-2014,"1,000.00",326.882,3.059,2
HDFC Top 200,PURA,26-11-2014,"1,000.00",349.259,2.863,2
HDFC Top 200,PUR,29-12-2014,"1,000.00",342.299,2.921,2
HDFC Top 200,PUR,28-01-2015,"1,000.00",367.147,2.724,2
